Id,Prediction
0,4280455.93807706
1,3659011.6207844424
2,4525139.296316597
3,4326924.53061433
4,5666940.311981401
5,4401149.7437444
6,3677532.780467944
7,5721838.547795001
8,6621994.634930917
9,3955450.6063129194
10,4580839.151303802
11,4506718.293986595
12,8049207.978068185
13,10972643.486022146
14,3941046.8216308956
15,6272255.392794323
16,5790035.298363693
17,4674387.324361016
18,5408084.728425832
19,4665217.8047575215
20,4019399.342163791
21,4513178.366762126
22,4576063.724265572
23,4603737.784914626
24,5336425.350698825
25,3846948.8659956064
26,4191243.529349585
27,4506594.347357671
28,5179237.670867066
29,4545580.4343107045
30,5069657.143304542
31,3668078.2227742253
32,4494320.008445179
33,4525139.296316597
34,4386033.232944527
35,3904686.9005066915
36,4766439.997419013
37,5978570.909705743
38,3649349.4642442996
39,4290694.397681703
40,4386033.232944527
41,4305585.159221367
42,5950821.383611004
43,4553928.060062497
44,5569054.343162688
45,5151904.974835192
46,4510453.422101125
47,3866976.1469417023
48,5128734.008633958
49,4994656.755333096
50,4519267.112754447
51,5855737.259001095
52,4540214.955606893
53,4510398.9990061065
54,4205081.24479442
55,4491605.011810999
56,6029645.53377793
57,5409988.236813
58,5255822.40546787
59,4994656.755333096
60,3677532.780467944
61,4576063.724265572
62,5665964.198775573
63,4549803.088798541
64,4203390.592550761
65,5398267.47943662
66,4544195.346305837
67,4625258.605245333
68,5282633.922212331
69,4854906.143318018
70,4205081.24479442
71,3651908.4494136386
72,4226191.111310589
73,5146633.555954986
74,8673650.428368103
75,4559530.202918516
76,4603737.784914626
77,4506594.347357671
78,4640613.581930746
79,5290748.663109086
80,5717227.357547744
81,5055573.291189524
82,4731118.710867482
83,4489461.778150934
84,6535906.452842613
85,3649349.4642442996
86,4146994.833684246
87,4259277.5443322845
88,4001188.180870597
89,5586950.820523744
90,5729371.376713251
91,4440183.489268141
92,3757052.429680432
93,5160624.019186517
94,4603737.784914626
95,5717227.357547744
96,4971191.217330154
97,4063175.532569669
98,4783514.124321069
99,4538903.931294356
100,4564988.926793756
101,3677532.780467944
102,4685749.573912303
103,4469837.668408276
104,3893905.570273956
105,3632666.533222637
106,5931514.204762783
107,4627340.6604326675
108,4613939.2821325725
109,4544857.810487754
110,5108473.9910222925
111,5610542.204764371
112,5892105.324557228
113,3771633.853757351
114,4185407.5526049393
115,6056586.021171995
116,4278018.2729898235
117,4850727.9822233105
118,4326924.53061433
119,5702657.3790606875
120,5163740.15454066
121,4608055.38245309
122,4236042.866540627
123,6251029.514244805
124,4944957.175167287
125,4510453.422101125
126,6051990.525378628
127,4205081.24479442
128,5739339.28877605
129,5490953.021781156
130,3786067.517912431
131,5287241.939409837
132,5008578.271717868
133,3740937.4495825493
134,5661811.729435545
135,3842894.7065805327
136,4000077.3865360087
137,5601893.983075312
138,5708748.777146999
139,4386033.232944527
140,5978570.909705743
141,4545350.54605301
142,4536646.958834012
143,3925407.144470231
144,4854906.143318018
145,3965188.322607556
146,4592821.985149669
147,3885920.2871688725
148,4143036.9509395957
149,5676539.7127025435
150,4450096.630563794
151,3606603.275876231
152,4285184.546257779
153,5688178.65400503
154,3887943.706022246
155,6064718.525529686
156,4912699.43029329
157,6613999.591760782
158,4045265.5647298316
159,4205081.24479442
160,5529520.940047409
161,5082117.868732347
162,3925407.144470231
163,7672236.475801108
164,5024022.890570004
165,5210583.30225976
166,4900235.985066593
167,4994656.755333096
168,3339037.5818553464
169,4841427.882741311
170,4226191.111310589
171,3910466.889898837
172,4619562.144514546
173,3606603.275876231
174,4450683.21544632
175,3514857.6142404824
176,5095821.276570234
177,4640613.581930746
178,3703690.9381423667
179,4063175.532569669
180,5566197.962889066
181,4469837.668408276
182,4893231.410404566
183,5775406.509785655
184,5644946.391493369
185,4210944.653804293
186,3632200.586669034
187,5048252.508859157
188,5969019.983165253
189,4985995.815844605
190,4650565.070520672
191,4893231.410404566
192,4666229.094925481
193,8081467.189769828
194,3591711.033870847
195,6170016.8493337585
196,4619029.018927957
197,3823187.4173120055
198,5720834.288783426
199,4236042.866540627
200,4038154.6744447653
201,5737926.356076912
202,4577058.366161972
203,3858227.149824668
204,4681839.345247691
205,4987488.6978720315
206,5786256.34643278
207,4185407.5526049393
208,4844757.6306791855
209,4205081.24479442
210,6064751.004535507
211,4674387.324361016
212,5151904.974835192
213,4210944.653804293
214,5298475.04012971
215,3659612.2216292256
216,5323360.627146356
217,4576870.629766855
218,4226191.111310589
219,4450096.630563794
220,4994656.755333096
221,5661811.729435545
222,5933573.62777821
223,4248491.201531524
224,4540214.955606893
225,4533241.332555846
226,4285184.546257779
227,5745466.27278262
228,4015958.901678044
229,5839539.283507856
230,5405325.481381223
231,5662512.537893229
232,8310067.170272627
233,3339037.5818553464
234,4525139.296316597
235,4506594.347357671
236,4210944.653804293
237,4205081.24479442
238,4771414.693606957
239,4586155.244330689
240,3838998.9466009536
241,4459880.551506311
242,4248491.201531524
243,3905125.118284972
244,5399690.1695088325
245,5332281.236992242
246,4306108.544015459
247,5048252.508859157
248,4667516.4954192
249,4506718.293986595
250,4474269.372508924
251,5888984.466200357
252,5801194.161710626
253,4051100.0661815777
254,4944957.175167287
255,6013313.791600348
256,3406305.1265391703
257,5151904.974835192
258,3687874.795413578
259,4450096.630563794
260,4365298.954787158
261,8081467.189769828
262,5631574.561184798
263,4277346.111558958
264,3786067.517912431
265,5535920.005526244
266,4572939.664531779
267,5576973.761380721
268,4582065.123426845
269,4328816.059449746
270,4205081.24479442
271,4078292.937962113
272,5169761.9764571125
273,4549296.435708617
274,4063175.532569669
275,4925247.23801921
276,5945603.377869616
277,5040685.505667471
278,4577058.366161972
279,3808070.3322755084
280,4824448.189325028
281,4823419.099986579
282,4553956.651605229
283,4469837.668408276
284,4540214.955606893
285,3687874.795413578
286,4884347.726721682
287,4569699.313638041
288,5689237.014124121
289,4248491.201531524
290,4472299.736868356
291,4816442.043586668
292,4289887.271933067
293,4088791.979786605
294,3904732.2223526533
295,5055385.325231422
296,3963195.2304951143
297,4386975.430679484
298,4879160.303054461
299,4665217.8047575215
300,4876443.553037944
301,5312021.107558181
302,6064751.004535507
303,5406883.303914353
304,4662020.674133531
305,5808609.239239481
306,4595383.541204385
307,4544195.346305837
308,3659011.6207844424
309,4469837.668408276
310,4666229.094925481
311,3816225.279525321
312,4506718.293986595
313,5811232.975672259
314,4191826.781944267
315,5706452.834851455
316,3486349.58179313
317,4063175.532569669
318,5151904.974835192
319,5694134.192328849
320,4925247.23801921
321,4595383.541204385
322,4577058.366161972
323,8271712.93686268
324,5892105.324557228
325,5780504.586411007
326,4881058.379633542
327,5450005.271691503
328,4214564.574941422
329,4821958.405691313
330,5857387.829490603
331,5905278.325106567
332,4285184.546257779
333,4522654.649283058
334,4577058.366161972
335,5007401.868029348
336,3687874.795413578
337,5196866.025370949
338,4809260.134739568
339,4816442.043586668
340,5777479.8325094
341,4854906.143318018
342,4003572.784924716
343,5068752.155816104
344,4627340.6604326675
345,4185407.5526049393
346,4666229.094925481
347,5975574.832341176
348,4024111.85691401
349,4603737.784914626
350,4346288.2349945055
351,5262216.808340692
352,7144510.699440886
353,6951890.97064183
354,4287317.115192116
355,4872880.704889252
356,5254381.355979767
357,5708001.2959541865
358,4712541.52702021
359,4285184.546257779
360,5490953.021781156
361,4278018.2729898235
362,4280455.93807706
363,4696288.462122205
364,8981879.973241046
365,4666229.094925481
366,3925407.144470231
367,3867763.210441398
368,3734728.006988419
369,4326924.53061433
370,5387706.817818718
371,5855438.445173327
372,4627340.6604326675
373,4236424.740928857
374,3960104.947224272
375,4814457.723494341
376,4103740.0547016417
377,5909385.746865863
378,4980016.929144513
379,4433600.626120889
380,5289817.343267274
381,4191243.529349585
382,4280455.93807706
383,5814462.94818084
384,4816072.8154668845
385,4908423.8072017
386,5749527.968107003
387,5443051.461253182
388,5668522.597538145
389,5942784.906729134
390,4665217.8047575215
391,5055659.932421222
392,4506594.347357671
393,4548907.801253824
394,4665217.8047575215
395,4980016.929144513
396,6593559.170813757
397,4614926.616009278
398,4506718.293986595
399,4625258.605245333
400,3925407.144470231
401,3823187.4173120055
402,4396318.075944706
403,5172020.270104063
404,4191243.529349585
405,4506718.293986595
406,5611625.545051734
407,3910466.889898837
408,3687874.795413578
409,4185407.5526049393
410,4205081.24479442
411,5312021.107558181
412,3606603.275876231
413,5368557.629080912
414,5371070.990422869
415,5469439.8540595835
416,4427247.375003615
417,4272061.469244218
418,4506718.293986595
419,4776403.6741486965
420,4850727.9822233105
421,5129016.040464025
422,4513484.51854731
423,3486349.58179313
424,4824448.189325028
425,4835954.959730885
426,4226191.111310589
427,4469837.668408276
428,5351211.146265585
429,4801401.718590541
430,4066097.4114110735
431,4519690.199406909
432,3894860.28618673
433,5332281.236992242
434,5151904.974835192
435,4544222.701849506
436,5299391.139590096
437,3649349.4642442996
438,3632200.586669034
439,6963564.698431156
440,5702216.001232237
441,4994656.755333096
442,3910509.049476784
443,6940163.849719667
444,4340879.2723055305
445,6010088.733853844
446,4285184.546257779
447,4098543.289159885
448,4994594.396426373
449,10972643.486022146
450,4985995.815844605
451,3910509.049476784
452,4580507.163507685
453,5561577.838113538
454,3825673.3959599645
455,4459880.551506311
456,3538649.6707444903
457,4423359.9411634365
458,4873298.136424364
459,3687874.795413578
460,5313161.947944127
461,5398267.47943662
462,4285184.546257779
463,4879160.303054461
464,6080136.756055703
465,4143554.490482447
466,5928863.167435627
467,4236068.897242207
468,3648718.255281902
469,4833932.877690751
470,4073318.8584494335
471,5786426.741897338
472,3925407.144470231
